Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2022-11-18,504.66986083984375,510.326877120324,499.38870845222715,507.7537682011816,1584400
2022-11-21,504.38079833984375,508.1489665181614,503.13762400172214,506.66480399630274,1268300
2022-11-22,512.6494140625,513.4685502145802,507.57060522182684,510.73162610454915,1809100
2022-11-23,515.0973510742188,517.3235361200749,511.15577948537896,514.6251389161049,1288200
2022-11-25,514.29736328125,516.4175531665729,513.7288029973956,514.779221945158,744200
2022-11-28,511.65673828125,516.7933676170387,509.7485969772663,511.6278573509092,1684300
2022-11-29,509.7679443359375,514.3551894559495,508.8427545159333,511.7724340483225,1685700
2022-11-30,519.6845703125,522.8937654918578,503.19538090966284,508.2741312418041,3601800
2022-12-01,485.5785827636719,500.3042112840375,477.68576516500525,500.3042112840375,6970400
2022-12-02,476.5870666503906,480.8659733793932,474.25485808139496,480.4322888744384,3632100
2022-12-05,470.9300537109375,474.8234794605273,467.1426521474386,474.6307242550794,2455300
2022-12-06,463.70220947265625,473.6381322658876,459.8569869409155,472.857523622757,2995900
2022-12-07,464.4828186035156,468.8870136314543,461.4952891535454,461.70730813155143,2072600
2022-12-08,463.95281982421875,465.79349408261623,456.32016546762,465.37910268037257,2901000
2022-12-09,465.4947204589844,472.3082088401806,453.4289904299445,457.8620958996335,4211100
2022-12-12,469.9856262207031,470.1205607540329,463.2299882282343,465.2152434306811,2276400
2022-12-13,470.4867858886719,479.90229308710434,464.0780424752722,479.006043078936,2626700
2022-12-14,465.9765930175781,473.8501765476602,463.5865928607375,471.12284003278944,2145000
2022-12-15,447.078125,459.40407829667106,446.3553369783944,458.0934073907932,3437700
2022-12-16,444.70733642578125,447.92614850900384,440.30314153827993,444.5242277956004,4909200
2022-12-19,441.9896545410156,446.5962218974356,438.8382802576674,444.1965753156924,1939200
2022-12-20,441.2090759277344,443.55090198566234,436.11100300733904,439.99478267829664,1993700
2022-12-21,445.2951965332031,446.8660603787582,439.64782748460937,442.71244132484253,1462400
2022-12-22,442.0667419433594,443.69542648711416,436.9397884042273,442.00892125982034,1906100
2022-12-23,445.86383056640625,446.3745995906153,438.29864341098124,440.91995580567965,1229500
2022-12-27,441.8644104003906,447.8394698078826,440.5248291504893,447.5503369531408,1230800
2022-12-28,436.5543212890625,443.7532912072394,436.37121263624556,440.9392529613625,1324100
2022-12-29,439.96588134765625,442.34626438251087,437.00726201978017,439.0985416132839,1465000
2022-12-30,439.9369201660156,440.12967537818855,434.3955460346803,438.1540373895228,1803200
2023-01-03,436.833740234375,442.1534487001991,431.648936885965,441.3824866884503,1978100
2023-01-04,439.99481201171875,442.8377900943494,436.1688527727791,440.5923120916509,2097300
2023-01-05,433.85589599609375,439.8694825694517,433.306570073634,438.048072155925,2169300
2023-01-06,465.3501892089844,466.84396873843167,445.44943193670605,446.2782147356237,5174500
2023-01-09,461.3796691894531,469.2050491601851,460.79181573835274,465.40800054812945,2384800
2023-01-10,463.93353271484375,464.5985000482092,458.228342395064,459.8281167470503,1649900
2023-01-11,466.7379150390625,466.9402874336306,461.7265734026681,462.9023096644974,1576400
2023-01-12,464.9261474609375,467.40290807353574,461.37967472207265,467.39326148887125,1628200
2023-01-13,467.6438293457031,467.97148970513575,461.6205960980769,463.442035949112,1405900
2023-01-17,469.10870361328125,472.68411630767537,466.79578775801076,467.528222386136,1539900
2023-01-18,462.073486328125,471.07460143262233,461.15794322544997,467.2197326387315,1925500
2023-01-19,452.4555969238281,460.232802097545,451.0871349148391,458.9606882841598,1919500
2023-01-20,462.6903076171875,462.89270942947957,452.43637064284104,456.7249244738218,2588600
2023-01-23,474.7367858886719,477.27136720465325,460.2714085793022,462.53615021584363,2709400
2023-01-24,474.2549133300781,475.69087212711963,469.3399785563681,474.19709264405697,1510200
2023-01-25,473.0695495605469,474.09108753844623,466.9210285246845,471.6046804523759,1329800
2023-01-26,480.2203063964844,480.57690649292175,473.92723376677867,475.3053718219505,1576400
2023-01-27,485.029296875,490.62849213587447,479.7962894900442,481.62737592123017,2034100
2023-01-30,485.01959228515625,487.25542325245164,482.2151716978729,482.2151716978729,1855900
2023-01-31,492.594482421875,492.85467550916593,483.7860920473274,484.9714749322895,1924100
2023-02-01,499.1188659667969,501.56674587281395,486.4074601817652,489.8672022101213,2080200
2023-02-02,505.3166809082031,511.70759088098674,502.6232501604213,506.146906438956,2287400
2023-02-03,496.9853210449219,503.5017371222321,494.7649243883709,501.16549778259383,1844100
2023-02-06,497.74798583984375,499.3215253284778,494.5428676790407,496.637758127998,1740100
2023-02-07,498.65545654296875,500.06489538782154,489.8317330054811,494.27252598128274,1927300
2023-02-08,486.3756103515625,494.4559610859447,484.20347179021184,493.59677493055364,2062900
2023-02-09,483.3056640625,491.5404815609945,481.1721495361004,487.80440793019255,1517300
2023-02-10,482.6877746582031,483.2283934318808,478.2373184210502,481.25900909698925,1536800
2023-02-13,488.9242858886719,489.2525166374155,484.0007657344855,484.37725444628836,1452600
2023-02-14,485.8060302734375,490.2758134434416,481.37487114925494,487.5340954204002,1257300
2023-02-15,493.5871276855469,493.7222971197535,483.9910995484108,485.3330126672521,1422600
2023-02-16,486.65557861328125,493.0561515618788,486.17288115967983,486.182515074922,1456000
2023-02-17,489.9186706542969,490.1406926513948,484.4738286522191,486.81973145754256,1340400
2023-02-21,484.37725830078125,486.5493969630148,479.36685609630797,483.489111435117,1811800
2023-02-22,480.1778564453125,487.9685720818437,479.41518610915347,486.4818849221397,1332000
2023-02-23,476.07489013671875,481.5969210877395,470.97757640682306,481.5389997464012,1546300
2023-02-24,471.70159912109375,473.39104023611304,467.9269308988123,471.6726384518683,1587600
2023-02-27,470.1763000488281,475.9397090632063,468.87301097754863,475.50526955227457,1501700
2023-02-28,467.4249267578125,471.962294874763,467.0387746643844,468.79580057022616,1918200
2023-03-01,462.10565185546875,465.88032049567124,458.58193642765167,464.45155470700684,1759300
2023-03-02,468.8826904296875,470.5624682680496,459.10323456351074,460.8409337437808,2379200
2023-03-03,458.8136291503906,459.5280120102843,449.22723457631406,458.39848691685546,5354200
2023-03-06,466.3629455566406,471.90433220035465,459.064562622494,460.0299575022649,3104700
2023-03-07,468.3613586425781,478.073229576847,468.21655529097694,469.2784956385793,2659100
2023-03-08,469.2206115722656,470.0315398671677,464.49018178791124,466.28580241344036,1548500
2023-03-09,462.9261779785156,473.043527707883,462.05732841176354,470.61074302867394,1629400
2023-03-10,454.8361511230469,463.833608879743,452.17165186629063,462.40484333401486,2123000
2023-03-13,455.6663818359375,460.19408616491484,450.6463166921226,450.6463166921226,1799600
2023-03-14,465.2431335449219,468.37100366298165,456.63179788184254,458.9777004703874,2422900
2023-03-15,468.85369873046875,470.1666216755152,461.98009163813185,464.84731571888915,2226300
2023-03-16,470.3983154296875,471.247867632102,466.054038499488,468.14892887626996,1979600
2023-03-17,470.1955871582031,472.9469685909784,464.8473204777865,472.1457037650654,3959300
2023-03-20,472.3581237792969,473.8062162669731,468.9116565878633,471.1127559906705,1623800
2023-03-21,473.8641052246094,475.93969842279114,469.1722705652001,475.93969842279114,1664000
2023-03-22,470.6492919921875,479.43439111891087,470.4851913642775,472.5221603793037,1299700
2023-03-23,470.8810119628906,476.1810203798805,467.5310905802371,473.7096118656967,1565900
2023-03-24,478.1311340332031,478.8069222654994,469.72255248331027,470.08940726875596,1635200
2023-03-27,476.152099609375,482.56230677343297,475.4666774423837,480.0716007592651,1452100
2023-03-28,469.92529296875,476.96303045983615,468.612369967763,475.56319598651925,1407800
2023-03-29,473.8834228515625,474.29853561670853,469.08540868595645,472.2712297547334,1643000
2023-03-30,474.47235107421875,478.5849137912494,474.00895086234135,475.93974088622053,1545500
2023-03-31,479.67578125,481.1142102892905,476.84718113402664,477.870497418041,2082000
2023-04-03,479.8302001953125,481.9251199788539,477.8704498320376,479.31854210425587,1804700
2023-04-04,480.5060729980469,485.188215266939,478.3532315013896,479.3186265195559,1913300
2023-04-05,479.9267883300781,486.68455286915975,478.0249591313331,481.73207214310463,1941500
2023-04-06,469.16265869140625,470.9679425736364,460.9760987298074,465.32037610003596,4114700
2023-04-10,476.740966796875,476.80855151294816,464.99212696079854,467.15460218301797,1653600
2023-04-11,481.3941650390625,482.6877906805544,475.9396897005177,476.74095451118643,1547400
2023-04-12,472.4160461425781,482.74575490007663,471.6340785544648,482.69749693499,2063700
2023-04-13,480.6604919433594,481.1914473659498,473.34278193482265,476.41273071657633,1600500
2023-04-14,474.29852294921875,483.0546621389236,473.1979880359551,479.0193183544311,1675300
2023-04-17,476.84716796875,480.66048967797576,474.15370789935133,475.7176429520619,1411800
2023-04-18,479.7047424316406,480.4094913478617,477.02094566214276,478.93243825999986,1339600
2023-04-19,478.8648376464844,480.7570034272522,476.7409570527039,479.92677794337465,1098800
2023-04-20,488.0843200683594,492.9885424527192,478.36281622463315,478.59450156321253,2936500
2023-04-21,488.82769775390625,492.9692499906609,487.96848217906927,491.7431796518042,1508600
2023-04-24,493.7222900390625,493.98293606505985,488.3064091401055,488.5863819201499,1374100
2023-04-25,485.7577819824219,495.37310727739293,484.8792690569579,493.4423174090806,1789900
2023-04-26,477.54229736328125,485.46818211597093,476.31625631139696,483.10298202738926,1441900
2023-04-27,483.9234924316406,484.8792534194621,477.7063468992585,477.7063468992585,1361600
2023-04-28,485.8060302734375,487.3603019449602,483.31532435596455,484.20347117925905,1169400
2023-05-01,476.5093078613281,482.7457512250266,471.88505762666966,481.87690162946143,2203200
2023-05-02,477.6871032714844,478.5269922176256,472.86012821410475,477.8705306805862,1940800
2023-05-03,473.1014404296875,481.51968545808325,472.7152883472229,479.4151315663632,1426400
2023-05-04,474.3591003417969,474.9105302955515,470.09282513421476,473.00473428930235,1487000
2023-05-05,482.794921875,483.1238372482872,476.9130907193915,477.12592178716164,1708200
2023-05-08,482.794921875,483.94614044298856,479.5444432286559,481.1599990187126,1015000
2023-05-09,484.468505859375,485.3875262108799,480.2119144089708,480.7633148106881,1571800
2023-05-10,483.3753662109375,488.51230331947613,478.9639855247683,485.59074008700287,1257600
2023-05-11,485.53265380859375,486.6064630450862,481.33407504584954,483.23021691385134,1046700
2023-05-12,487.6416015625,489.53771392450443,484.8651439373954,486.7709398315872,1471900
2023-05-15,485.67779541015625,488.54131644407124,482.60141379192567,487.5835914294805,1135700
2023-05-16,479.979736328125,483.98482181395934,478.1900246427589,483.70426507378625,1229300
2023-05-17,478.8672180175781,481.77912711388234,475.8682456971174,481.769443581321,2069500
2023-05-18,481.8661804199219,482.34988467058974,477.97717934985496,478.8672081611882,2298900
2023-05-19,480.3376770019531,483.1141643072838,477.82243841973235,483.1141643072838,1634400
2023-05-22,475.8392639160156,480.80207476350694,472.61780626434575,480.80207476350694,1943800
2023-05-23,469.06732177734375,471.2923788850873,467.2292516608338,471.2923788850873,1800200
2023-05-24,467.0261535644531,471.3698084370267,465.2364418710278,471.3698084370267,1600600
2023-05-25,470.6925964355469,472.6177594366731,461.21200489297365,464.5592300548177,3421900
2023-05-26,490.7276611328125,494.1039074603764,468.34181354302626,469.8219474152929,5302600
2023-05-30,491.4725341796875,498.0121954989456,485.24242113989374,493.1751825700801,2544800
2023-05-31,494.8874816894531,497.12219292554875,488.4929257815427,492.27546697359287,3320800
2023-06-01,495.8935546875,496.9964145067251,485.7357953454387,492.73013964065916,2407700
2023-06-02,495.8840026855469,501.60136155936783,492.79793735161087,493.68796625808045,2283900
2023-06-05,501.3594970703125,502.00764428667844,495.3325605057773,495.88399048242314,2023500
2023-06-06,499.434326171875,501.72707961392547,496.0483963912686,501.35945965692815,1410300
2023-06-07,494.56829833984375,502.3655795997206,493.92980513511634,497.7413972972072,1784700
2023-06-08,503.1395263671875,503.3329608356814,495.79686967318395,495.79686967318395,1530400
2023-06-09,500.421142578125,505.0453249233585,498.69912695000284,501.30145841270445,1287300
2023-06-12,503.9908447265625,504.28111455179226,499.1828521861218,500.4211635723541,1404500
2023-06-13,505.0066223144531,505.90630516645405,501.0305283608604,505.0066223144531,1204700
2023-06-14,510.0177307128906,510.64651075818784,506.090054890454,507.8894203802078,1841400
2023-06-15,511.9332275390625,513.9454537699822,509.49533920248535,511.7591010930112,1871600
2023-06-16,506.58343505859375,513.1327498113101,505.5966595904828,512.8231720361002,3147400
2023-06-20,502.7621765136719,505.8578953212297,501.2530217138021,504.93884549690273,1684400
2023-06-21,502.684814453125,504.6389985738286,499.7051796548694,501.0305246141791,1273600
2023-06-22,507.1155090332031,507.57984618327555,502.7428040502727,503.7198960084872,1114000
2023-06-23,507.34771728515625,508.2764507038568,502.4139575420205,506.0804145090376,1433700
2023-06-26,506.3609619140625,507.76371610746804,504.27138544605606,507.3090624353199,1278500
2023-06-27,513.0457763671875,515.0579435734537,505.0839641053135,505.6160860274589,1673600
2023-06-28,515.435302734375,516.1028170463533,511.38185824052266,511.739794707503,1245200
2023-06-29,514.3614501953125,515.0966901347781,511.710760236873,513.287640884429,1121800
2023-06-30,520.8333740234375,521.9749089264358,516.2381838154546,516.7605631299336,2221900
2023-07-03,523.4066772460938,523.4454113757594,516.9250874874809,519.7402202619716,951400
2023-07-05,523.4937744140625,528.2534077747151,519.9820767811499,523.5808081146865,1630400
2023-07-06,519.8563232421875,522.6908231833797,519.0920917509084,521.3171195872577,1750100
2023-07-07,507.93792724609375,518.976093603166,507.53163212406116,516.4898461531695,2739500
2023-07-10,509.8340148925781,513.8391006609977,507.9475563165021,507.9475563165021,1955600
2023-07-11,512.3782348632812,513.4617276231343,509.0019887592815,510.307966571948,1262300
2023-07-12,520.4658203125,522.5070382620322,513.8003609705592,514.6613687848513,1960500
2023-07-13,520.901123046875,521.5492702145056,515.4255578247698,520.2722838981764,1647200
2023-07-14,528.8821411132812,529.0369004644998,520.5623941217735,521.1525580727193,1828400
2023-07-17,534.9381713867188,536.1474318895811,528.301704872109,528.3791140771506,1909900
2023-07-18,535.5476684570312,536.9116883878634,531.4845411681541,534.6576101722227,1779200
2023-07-19,536.05078125,537.7727969516884,534.0289302810926,536.4087177190589,1261100
2023-07-20,538.8079223632812,542.7839575917624,535.6638443709713,535.7605616138989,1732800
2023-07-21,539.6785278320312,543.731972080709,539.2819163006416,540.9458306901846,5263900
2023-07-24,545.5507202148438,548.1046930688126,537.7630928582337,539.8139943496508,2086400
2023-07-25,546.7697143554688,549.0527846698462,545.9087064590157,548.2982366031357,1602500
